No.,Time,Source,Destination,Protocol,Length,Info
1253,30.990394,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=596819 Win=1053952 Len=0
1258,30.990563,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=602411 Win=1053952 Len=0
1264,30.991514,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=609401 Win=1053952 Len=0
1268,30.991637,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=613595 Win=1053952 Len=0
1273,30.991704,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=619187 Win=1053952 Len=0
1279,30.991983,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=624895 Win=1053952 Len=0
1282,30.992094,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=627691 Win=1053952 Len=0
1287,30.992161,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=633283 Win=1053952 Len=0
1289,30.992302,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=634681 Win=1053952 Len=0
1294,30.992486,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=640273 Win=1053952 Len=0
1299,30.99266,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=645865 Win=1053952 Len=0
1302,30.992799,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=648661 Win=1053952 Len=0
1306,30.992854,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=652855 Win=1053952 Len=0
1308,30.992975,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=654253 Win=1053952 Len=0
1313,31.000851,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=659845 Win=1053952 Len=0
1316,31.000954,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=662641 Win=1053952 Len=0
1320,31.001092,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=666835 Win=1053952 Len=0
1324,31.001249,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=671029 Win=1053952 Len=0
1329,31.001417,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=676621 Win=1053952 Len=0
1335,31.001625,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=683611 Win=1053952 Len=0
1339,31.001756,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=687805 Win=1053952 Len=0
1344,31.001916,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=693397 Win=1053952 Len=0
1349,31.002102,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=698989 Win=1053952 Len=0
1354,31.002276,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=704581 Win=1053952 Len=0
1359,31.002412,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=710173 Win=1053952 Len=0
1362,31.003402,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=712969 Win=1053952 Len=0
1365,31.003523,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=715765 Win=1053952 Len=0
1369,31.003695,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=719959 Win=1053952 Len=0
1371,31.003818,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=721357 Win=1053952 Len=0
1376,31.003905,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=726949 Win=1053952 Len=0
1379,31.004147,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=729745 Win=1053952 Len=0
1382,31.004301,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=732541 Win=1053952 Len=0
1387,31.004449,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=738133 Win=1053952 Len=0
1391,31.004575,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=742327 Win=1053952 Len=0
1396,31.004641,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=747919 Win=1053952 Len=0
1400,31.004806,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=752113 Win=1053952 Len=0
1406,31.004978,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=759103 Win=1053952 Len=0
1408,31.005078,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=760501 Win=1053952 Len=0
1412,31.005132,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=764695 Win=1053952 Len=0
1415,31.00527,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=767491 Win=1053952 Len=0
1417,31.005394,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=768889 Win=1053952 Len=0
1422,31.006398,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=774481 Win=1053952 Len=0
1427,31.006932,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=780073 Win=1053952 Len=0
1432,31.007104,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=785665 Win=1053952 Len=0
1438,31.008026,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=792655 Win=1053952 Len=0
1442,31.008162,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=796849 Win=1053952 Len=0
1447,31.008334,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=802441 Win=1053952 Len=0
1452,31.008503,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=808033 Win=1053952 Len=0
1457,31.008671,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=813625 Win=1053952 Len=0
1462,31.008857,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=819217 Win=1053952 Len=0
1467,31.009024,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=824809 Win=1053952 Len=0
1472,31.009178,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=829295 Win=1053952 Len=0
1477,31.009332,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=834887 Win=1053952 Len=0
1481,31.009464,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=839081 Win=1053952 Len=0
1484,31.009608,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=861 Ack=841171 Win=1053952 Len=0
1485,31.037638,10.82.126.202,8.238.55.254,TCP,54,"1959  >  80 [FIN, ACK] Seq=861 Ack=841171 Win=1053952 Len=0"
1486,31.038352,10.82.126.202,67.26.43.254,TCP,54,"1961  >  80 [FIN, ACK] Seq=423 Ack=1033 Win=130304 Len=0"
1489,31.040718,10.82.126.202,8.238.55.254,TCP,54,1959  >  80 [ACK] Seq=862 Ack=841172 Win=1053952 Len=0
1490,31.040779,10.82.126.202,67.26.43.254,TCP,54,1961  >  80 [ACK] Seq=424 Ack=1034 Win=130304 Len=0
1491,31.171253,10.82.126.202,104.119.150.246,TCP,66,1962  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1493,31.179025,10.82.126.202,104.119.150.246,TCP,54,1962  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0
1494,31.179533,10.82.126.202,104.119.150.246,TLSv1.2,267,Client Hello
1498,31.186337,10.82.126.202,104.119.150.246,TCP,54,1962  >  443 [ACK] Seq=214 Ack=2797 Win=131328 Len=0
1501,31.18834,10.82.126.202,104.119.150.246,TCP,54,1962  >  443 [ACK] Seq=214 Ack=5495 Win=131328 Len=0
1503,31.206999,10.82.126.202,104.119.150.246,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
1505,31.214983,10.82.126.202,104.119.150.246,TLSv1.2,594,Application Data
1506,31.222251,10.82.126.202,52.114.133.60,TCP,66,1963  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1508,31.225909,10.82.126.202,104.119.150.246,TCP,54,"1962  >  443 [FIN, ACK] Seq=880 Ack=6728 Win=130048 Len=0"
1510,31.232212,10.82.126.202,104.119.150.246,TCP,54,"1962  >  443 [RST, ACK] Seq=881 Ack=6759 Win=0 Len=0"
1512,31.239868,10.82.126.202,2.17.115.33,TCP,66,1965  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1514,31.240947,10.82.126.202,2.17.115.33,TCP,54,1965  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0
1515,31.24142,10.82.126.202,2.17.115.33,HTTP,366,GET /filestreamingservice/files/1d7319ea-1ab6-4263-a184-164421be7824/pieceshash HTTP/1.1 
1519,31.253151,10.82.126.202,2.17.115.33,TCP,54,1965  >  80 [ACK] Seq=313 Ack=1449 Win=131328 Len=0
1524,31.253382,10.82.126.202,2.17.115.33,TCP,54,1965  >  80 [ACK] Seq=313 Ack=5990 Win=131328 Len=0
1525,31.262324,10.82.126.202,2.17.115.33,TCP,54,"1965  >  80 [FIN, ACK] Seq=313 Ack=5990 Win=131328 Len=0"
1527,31.263339,10.82.126.202,2.17.115.33,TCP,54,1965  >  80 [ACK] Seq=314 Ack=5991 Win=131328 Len=0
1528,31.268093,10.82.126.202,193.60.199.98,DNS,94,Standard query 0x9214 A 2.tlu.dl.delivery.mp.microsoft.com
1530,31.286497,10.82.126.202,2.17.115.10,TCP,66,1967  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1531,31.288078,10.82.126.202,23.55.58.104,TCP,66,1969  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1533,31.288272,10.82.126.202,2.17.115.10,TCP,54,1967  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0
1534,31.288707,10.82.126.202,2.17.115.10,HTTP,475,GET /filestreamingservice/files/1d7319ea-1ab6-4263-a184-164421be7824?P1=1600752390&P2=402&P3=2&P4=aEnxura2ZAeGtwrs2t0qOfgjURCnXMPyiYkAuXvOAP%2fLw927AdpAC6CXij2LGsKwlT3UA%2fVe9iBRqkAdt25zjg%3d%3d HTTP/1.1 
1535,31.288713,10.82.126.202,52.213.158.68,TLSv1.2,271,Application Data
1536,31.288762,10.82.126.202,52.213.158.68,TLSv1.2,331,Application Data
1538,31.289042,10.82.126.202,23.55.58.104,TCP,54,1969  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0
1539,31.289179,10.82.126.202,23.55.58.104,HTTP,475,GET /filestreamingservice/files/1d7319ea-1ab6-4263-a184-164421be7824?P1=1600752390&P2=402&P3=2&P4=aEnxura2ZAeGtwrs2t0qOfgjURCnXMPyiYkAuXvOAP%2fLw927AdpAC6CXij2LGsKwlT3UA%2fVe9iBRqkAdt25zjg%3d%3d HTTP/1.1 
1543,31.300819,10.82.126.202,2.17.115.10,TCP,54,"1967  >  80 [FIN, ACK] Seq=422 Ack=626 Win=130560 Len=0"
1546,31.302354,10.82.126.202,2.17.115.10,TCP,54,1967  >  80 [ACK] Seq=423 Ack=627 Win=130560 Len=0
1548,31.302842,10.82.126.202,52.114.133.60,TCP,54,1963  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0
1549,31.303231,10.82.126.202,52.114.133.60,TLSv1.2,262,Client Hello
1550,31.303349,10.82.126.202,23.55.58.104,TCP,54,"1969  >  80 [FIN, ACK] Seq=422 Ack=627 Win=130560 Len=0"
1553,31.306881,10.82.126.202,23.55.58.104,TCP,54,1969  >  80 [ACK] Seq=423 Ack=628 Win=130560 Len=0
1555,31.349725,10.82.126.202,52.213.158.68,TCP,54,1930  >  443 [ACK] Seq=1522 Ack=3850 Win=65535 Len=0
1556,31.362751,10.82.126.202,65.52.108.90,TCP,66,1970  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1560,31.384266,10.82.126.202,52.114.133.60,TCP,54,1963  >  443 [ACK] Seq=209 Ack=4031 Win=131328 Len=0
1561,31.386205,10.82.126.202,52.114.133.60,TLSv1.2,147,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
1564,31.595691,10.82.126.202,65.52.108.90,TCP,54,1970  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0
1565,31.597091,10.82.126.202,65.52.108.90,TLSv1.2,264,Client Hello
1566,31.600775,10.82.126.202,52.114.133.60,TLSv1.2,1026,Application Data
1567,31.600898,10.82.126.202,52.114.133.60,TCP,1452,1963  >  443 [ACK] Seq=1274 Ack=4082 Win=131328 Len=1398 [TCP segment of a reassembled PDU]
1568,31.600898,10.82.126.202,52.114.133.60,TLSv1.2,408,Application Data
1572,31.804296,10.82.126.202,65.52.108.90,TLSv1.2,212,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
1573,31.804769,10.82.126.202,52.114.133.60,TCP,54,"1963  >  443 [FIN, ACK] Seq=3026 Ack=4439 Win=130816 Len=0"
1576,31.902226,10.82.126.202,52.114.133.60,TCP,54,1963  >  443 [ACK] Seq=3027 Ack=4440 Win=130816 Len=0
1578,31.902494,10.82.126.202,65.52.108.90,TCP,54,1970  >  443 [ACK] Seq=369 Ack=1371 Win=129792 Len=0
1579,31.902791,10.82.126.202,65.52.108.90,TLSv1.2,141,Application Data
1580,31.902844,10.82.126.202,65.52.108.90,TLSv1.2,282,Application Data
1581,31.902902,10.82.126.202,65.52.108.90,TCP,1452,1970  >  443 [ACK] Seq=684 Ack=1371 Win=129792 Len=1398 [TCP segment of a reassembled PDU]
1582,31.902902,10.82.126.202,65.52.108.90,TCP,1452,1970  >  443 [ACK] Seq=2082 Ack=1371 Win=129792 Len=1398 [TCP segment of a reassembled PDU]
1583,31.902902,10.82.126.202,65.52.108.90,TCP,1452,1970  >  443 [ACK] Seq=3480 Ack=1371 Win=129792 Len=1398 [TCP segment of a reassembled PDU]
1584,31.902902,10.82.126.202,65.52.108.90,TLSv1.2,708,Application Data
1585,31.902961,10.82.126.202,65.52.108.90,TLSv1.2,92,Application Data
1592,32.106977,10.82.126.202,65.52.108.90,TCP,54,1970  >  443 [ACK] Seq=5570 Ack=2849 Win=131328 Len=0
1593,32.11817,10.82.126.202,65.52.108.90,TCP,54,"1970  >  443 [FIN, ACK] Seq=5570 Ack=2849 Win=131328 Len=0"
1595,32.312424,10.82.126.202,65.52.108.90,TCP,54,1970  >  443 [ACK] Seq=5571 Ack=2850 Win=131328 Len=0
1596,32.373164,10.82.126.202,52.114.133.60,TCP,66,1971  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1597,32.556931,10.82.126.202,65.52.108.90,TCP,66,1972  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1599,32.559181,10.82.126.202,52.114.133.60,TCP,54,1971  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0
1600,32.559639,10.82.126.202,52.114.133.60,TLSv1.2,262,Client Hello
1605,32.824142,10.82.126.202,52.114.133.60,TCP,54,1971  >  443 [ACK] Seq=209 Ack=4031 Win=131328 Len=0
1606,32.82428,10.82.126.202,65.52.108.90,TCP,54,1972  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0
1607,32.825103,10.82.126.202,65.52.108.90,TLSv1.2,264,Client Hello
1608,32.831138,10.82.126.202,52.114.133.60,TLSv1.2,147,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
1611,33.045525,10.82.126.202,52.114.133.60,TLSv1.2,1026,Application Data
1612,33.047766,10.82.126.202,52.114.133.60,TCP,1452,1971  >  443 [ACK] Seq=1274 Ack=4082 Win=131328 Len=1398 [TCP segment of a reassembled PDU]
1613,33.047766,10.82.126.202,52.114.133.60,TLSv1.2,73,Application Data
1614,33.054844,10.82.126.202,65.52.108.90,TLSv1.2,212,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
1615,33.1388,10.82.126.202,239.255.255.250,SSDP,143,M-SEARCH * HTTP/1.1 
1620,33.144193,10.82.126.202,65.52.108.90,TCP,54,1972  >  443 [ACK] Seq=369 Ack=1370 Win=129792 Len=0
1621,33.148229,10.82.126.202,65.52.108.90,TLSv1.2,141,Application Data
1622,33.148407,10.82.126.202,65.52.108.90,TLSv1.2,92,Application Data
1623,33.148542,10.82.126.202,65.52.108.90,TLSv1.2,282,Application Data
1624,33.14871,10.82.126.202,65.52.108.90,TCP,1452,1972  >  443 [ACK] Seq=722 Ack=1370 Win=129792 Len=1398 [TCP segment of a reassembled PDU]
1625,33.14871,10.82.126.202,65.52.108.90,TCP,1452,1972  >  443 [ACK] Seq=2120 Ack=1370 Win=129792 Len=1398 [TCP segment of a reassembled PDU]
1626,33.14871,10.82.126.202,65.52.108.90,TCP,1452,1972  >  443 [ACK] Seq=3518 Ack=1370 Win=129792 Len=1398 [TCP segment of a reassembled PDU]
1627,33.14871,10.82.126.202,65.52.108.90,TLSv1.2,708,Application Data
1628,33.154783,10.82.126.202,52.114.133.60,TCP,54,"1971  >  443 [FIN, ACK] Seq=2691 Ack=4439 Win=130816 Len=0"
1631,33.23345,10.82.126.202,65.52.108.90,TCP,54,1972  >  443 [ACK] Seq=5570 Ack=1408 Win=131328 Len=0
1635,33.234341,10.82.126.202,65.52.108.90,TCP,54,1972  >  443 [ACK] Seq=5570 Ack=1518 Win=131072 Len=0
1637,33.234573,10.82.126.202,65.52.108.90,TCP,54,1972  >  443 [ACK] Seq=5570 Ack=1560 Win=131072 Len=0
1639,33.23482,10.82.126.202,52.114.133.60,TCP,54,1971  >  443 [ACK] Seq=2692 Ack=4440 Win=130816 Len=0
1641,33.256644,10.82.126.202,65.52.108.90,TCP,54,"1972  >  443 [FIN, ACK] Seq=5570 Ack=2852 Win=131328 Len=0"
1642,33.338995,10.82.126.202,2.17.115.10,TCP,66,1975  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1644,33.340796,10.82.126.202,65.52.108.90,TCP,54,"1972  >  443 [RST, ACK] Seq=5571 Ack=2894 Win=0 Len=0"
1647,33.34115,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0
1648,33.341764,10.82.126.202,2.17.115.10,HTTP,475,GET /filestreamingservice/files/1d7319ea-1ab6-4263-a184-164421be7824?P1=1601366359&P2=402&P3=2&P4=cGpA823mM4RM3IlFeCL3q%2ffBQJERZlViOIfNREnopulmIxddQVJrqWfEesNdaBFHgVJ4uTdJJSyCTZ%2fm7k20Yg%3d%3d HTTP/1.1 
1649,33.341983,10.82.126.202,23.55.58.104,TCP,66,1977  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1652,33.348647,10.82.126.202,23.55.58.104,TCP,54,1977  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0
1653,33.348836,10.82.126.202,23.55.58.104,HTTP,475,GET /filestreamingservice/files/1d7319ea-1ab6-4263-a184-164421be7824?P1=1601366359&P2=402&P3=2&P4=cGpA823mM4RM3IlFeCL3q%2ffBQJERZlViOIfNREnopulmIxddQVJrqWfEesNdaBFHgVJ4uTdJJSyCTZ%2fm7k20Yg%3d%3d HTTP/1.1 
1656,33.356444,10.82.126.202,2.17.115.10,HTTP,491,GET /filestreamingservice/files/1d7319ea-1ab6-4263-a184-164421be7824?P1=1601366359&P2=402&P3=2&P4=cGpA823mM4RM3IlFeCL3q%2ffBQJERZlViOIfNREnopulmIxddQVJrqWfEesNdaBFHgVJ4uTdJJSyCTZ%2fm7k20Yg%3d%3d HTTP/1.1 
1658,33.361353,10.82.126.202,23.55.58.104,HTTP,491,GET /filestreamingservice/files/1d7319ea-1ab6-4263-a184-164421be7824?P1=1601366359&P2=402&P3=2&P4=cGpA823mM4RM3IlFeCL3q%2ffBQJERZlViOIfNREnopulmIxddQVJrqWfEesNdaBFHgVJ4uTdJJSyCTZ%2fm7k20Yg%3d%3d HTTP/1.1 
1663,33.363698,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=5235 Win=131328 Len=0
1670,33.363997,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=11127 Win=131328 Len=0
1673,33.364861,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=13923 Win=131328 Len=0
1677,33.365151,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=17571 Win=131328 Len=0
1680,33.368351,10.82.126.202,23.55.58.104,TCP,54,1977  >  80 [ACK] Seq=859 Ack=2439 Win=131328 Len=0
1685,33.368498,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=20467 Win=131328 Len=0
1690,33.369759,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=23363 Win=131328 Len=0
1695,33.369909,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=26259 Win=131328 Len=0
1698,33.370012,10.82.126.202,23.55.58.104,TCP,54,1977  >  80 [ACK] Seq=859 Ack=5235 Win=131328 Len=0
1705,33.370231,10.82.126.202,23.55.58.104,TCP,54,1977  >  80 [ACK] Seq=859 Ack=12525 Win=131328 Len=0
1710,33.371255,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=30453 Win=131328 Len=0
1715,33.371527,10.82.126.202,23.55.58.104,TCP,54,1977  >  80 [ACK] Seq=859 Ack=16719 Win=131328 Len=0
1716,33.371553,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=33249 Win=131328 Len=0
1718,33.371932,10.82.126.202,23.55.58.104,TCP,54,1977  >  80 [ACK] Seq=859 Ack=17571 Win=130560 Len=0
1722,33.372077,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=37443 Win=131328 Len=0
1727,33.372258,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=43035 Win=131328 Len=0
1731,33.372422,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=47229 Win=131328 Len=0
1736,33.37577,10.82.126.202,23.55.58.104,TCP,54,1977  >  80 [ACK] Seq=859 Ack=20467 Win=131328 Len=0
1747,33.376203,10.82.126.202,23.55.58.104,TCP,54,1977  >  80 [ACK] Seq=859 Ack=27557 Win=131328 Len=0
1748,33.376244,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=51423 Win=131328 Len=0
1760,33.376758,10.82.126.202,23.55.58.104,TCP,54,1977  >  80 [ACK] Seq=859 Ack=33149 Win=131328 Len=0
1761,33.376801,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=61209 Win=131328 Len=0
1771,33.37727,10.82.126.202,2.17.115.10,TCP,66,1975  >  80 [ACK] Seq=859 Ack=66801 Win=131328 Len=0 SLE=69597 SRE=70995
1772,33.377311,10.82.126.202,2.17.115.10,TCP,66,1975  >  80 [ACK] Seq=859 Ack=68199 Win=131328 Len=0 SLE=69597 SRE=70995
1773,33.37735,10.82.126.202,2.17.115.10,TCP,66,[TCP Dup ACK 1772#1] 1975  >  80 [ACK] Seq=859 Ack=68199 Win=131328 Len=0 SLE=69597 SRE=72393
1774,33.377387,10.82.126.202,2.17.115.10,TCP,66,[TCP Dup ACK 1772#2] 1975  >  80 [ACK] Seq=859 Ack=68199 Win=131328 Len=0 SLE=69597 SRE=73791
1775,33.377429,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=73791 Win=131328 Len=0
1778,33.378105,10.82.126.202,23.55.58.104,TCP,54,1977  >  80 [ACK] Seq=859 Ack=35945 Win=131328 Len=0
1780,33.378421,10.82.126.202,23.55.58.104,TCP,54,1977  >  80 [ACK] Seq=859 Ack=36288 Win=130816 Len=0
1786,33.378734,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=80781 Win=131328 Len=0
1792,33.379042,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=87771 Win=131328 Len=0
1797,33.380375,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=93363 Win=131328 Len=0
1800,33.380732,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=96159 Win=131328 Len=0
1804,33.380881,10.82.126.202,2.17.115.10,TCP,66,[TCP Dup ACK 1800#1] 1975  >  80 [ACK] Seq=859 Ack=96159 Win=131328 Len=0 SLE=68199 SRE=69597
1805,33.380926,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=98955 Win=131328 Len=0
1810,33.381074,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=104547 Win=131328 Len=0
1813,33.382246,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=107343 Win=131328 Len=0
1816,33.382476,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=110139 Win=131328 Len=0
1820,33.382655,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=114333 Win=131328 Len=0
1825,33.382846,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=119925 Win=131328 Len=0
1828,33.383039,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=122721 Win=131328 Len=0
1833,33.383451,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=128313 Win=131328 Len=0
1838,33.38431,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=133905 Win=131328 Len=0
1840,33.384414,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=135303 Win=131328 Len=0
1846,33.385087,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=142293 Win=131328 Len=0
1849,33.385226,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=145089 Win=131328 Len=0
1853,33.385397,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=149283 Win=131328 Len=0
1859,33.386204,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=156273 Win=131328 Len=0
1861,33.386315,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=157671 Win=131328 Len=0
1864,33.386479,10.82.126.202,2.17.115.10,TCP,54,1975  >  80 [ACK] Seq=859 Ack=160467 Win=131328 Len=0
